hid,lat,lng,place,tier,airport,landmarks,bar,hospital,food,atm,market_place,bus_station,movie_theatre,train_station,spa_gym,offices,
10211,17.92048836,77.51199341,Bidar,3,No,0.67891457,1.981503214,0.370591438,0.300788896,0.238192518,0.207259397,0.817738436,1.02490083,4.535287191,0.322689683,1.110914427,
10212,18.2964859,83.89277649,Srikakulam,3,No,0.642174719,1.478246533,0.575193359,0.338436442,0.343008471,0.232770576,1.15489114,0.68264228,8.911120032,0.172771805,2.312804302,
10213,26.91580391,70.90834808,Jaisalmer,3,No,0.423440893,0.990612146,0.52175945,0.082984132,0.414983777,0.637961451,0.840359736,0.565605993,1.987101625,1.35662902,1.005494916,
10214,10.78676605,79.13912964,Thanjavur,3,No,1.274040545,0.423593104,0.486111119,0.304031461,0.471618997,0.096915364,0.464004501,0.157353903,5.70287974,1.168235656,2.01156312,
10215,17.44485474,78.47144318,Hyderabad,1,Yes,3.306750993,1.823392543,2.317249491,1.896755839,0.464586772,1.098038794,2.203640064,2.39871595,2.364747996,1.61166624,3.112890943,
10216,11.34968662,77.71926117,Erode,3,No,2.243231377,0.813985646,0.737268877,0.601475805,1.102644412,0.681743749,0.570272984,0.769651087,6.481656746,0.940119766,1.310447579,
10218,12.04917145,79.87519836,Pondicherry,2,Yes,11.244347,3.734081233,2.543884512,1.12446853,2.28606188,1.242600945,1.000294546,2.534328664,0,3.495083142,4.222042675,
10219,11.40920544,76.71147156,Udagamandalam,3,No,0.846085831,2.685555531,0.612051494,0.52546018,0.462355433,0.469616935,0.997713374,0.949905601,4.017597904,2.075921243,4.867113226,
10220,30.72514343,76.76579285,Chandigarh,2,No,2.000379021,0.155168769,0.495625546,0.525555893,0.508732988,0.519412271,0.918958392,1.369926124,4.0517702,0.955498152,1.192013027,
10222,10.97508812,76.22754669,Perinthalmanna,3,No,4.845597629,0,0.283865829,0.183543854,0.483427737,0.167236992,0.137647082,1.105981062,4.250516307,2.097110731,3.061319633,
10223,11.41033268,76.70893097,Udagamandalam,3,No,0.642808362,2.67873571,0.58107559,0.236876192,0.210920528,0.214884816,0.861482806,0.687617006,4.068103476,2.114097249,4.848770358,
10224,11.7866497,78.20368195,Yercaud,3,No,10.28344236,0,1.503684765,0.658322615,1.226169391,1.396184392,1.226416438,0.734652324,10.70698343,1.814545471,0.277386823,
