hid,lat,lng
51996,24.48103142,72.78549957
51998,14.67894268,77.6003418
52000,21.05473709,70.53128052
52002,12.09357643,78.13648224
52004,26.75871658,83.38249969
52006,28.47606659,77.09320831
52008,22.80850601,70.87506104
52010,23.5879612,72.36932373
52012,28.55539894,77.24190521
52014,15.11045361,77.63703918
52016,15.12297058,77.63256073
52018,14.68008232,77.59784698
52020,26.92392731,75.82675171
52022,26.21342278,78.1784668
52024,23.02476692,72.67304993
52026,29.49670792,79.61980438
52028,22.7964344,70.8429184
52030,19.79936409,85.80254364
52032,18.53442764,73.89716339
52034,29.33304405,79.62355042
52036,14.67890644,77.6003418
52038,25.21918678,75.81436157
52044,17.36789894,78.53995514
52046,19.02830124,72.92492676
52048,17.33866692,78.56671143
52054,19.26301384,72.87503815
52056,17.25987816,78.3853302
52062,17.43096542,78.44821167
52064,19.14065933,73.004776
52068,17.40178299,78.4563446
52070,18.99293327,73.11493683
52072,17.38664818,78.47808075
52074,17.44482231,78.3998642
52080,19.0221138,72.8423996
52084,17.40357018,78.46320343
52090,17.50095367,78.31299591
52092,26.29637718,73.02402496
52096,19.27975273,72.85616302
52098,19.88403893,75.32862091
52104,17.39858437,78.49255371
52108,17.4476738,78.38858032
52110,28.63957405,77.20986176
52042,13.08446598,80.20343781
52112,26.2694912,73.03000641
52116,17.44768524,78.38859558
52114,18.95408058,72.84178162
52050,13.07045555,80.22538757
52118,25.28374672,83.00827026
52120,18.75730515,73.4348526
52122,17.44079018,78.39170837
52124,18.95285606,72.83821106
52126,17.47280121,78.35578156
52052,13.06357765,80.23882294
52128,18.93887138,72.83711243
52130,23.48140335,72.39801025
52132,25.21842384,75.8788147
52134,17.37434387,78.49913025
52136,25.271101,82.98241425
52058,12.98065281,80.22360229
52138,17.40563774,78.4637146
52060,13.06407356,80.27403259
52140,18.51552582,73.85149384
52066,13.05364418,80.2357254
52142,19.25393295,72.86724091
52144,17.38921547,78.49288177
52078,13.03978062,80.24726868
52146,18.93466187,72.83677673
52082,12.99605656,80.21337891
52148,15.60494614,73.75254822
52086,13.04846859,80.13652039
52150,19.07157326,72.83828735
52152,25.30622482,83.00904083
52154,29.39679527,79.4550705
52156,22.74989891,75.90287018
52158,29.39235115,79.45973969
52160,21.60411644,76.98735046
52162,19.09062386,73.00565338
52164,25.47152519,81.81834412
52166,22.71670151,75.87155151
52168,25.20385933,75.85977173
52170,25.44109726,81.8673172
52172,22.73510933,75.88817596
52174,23.78785706,72.64738464
52088,12.9127636,80.22858429
52176,25.22008896,75.87129974
52178,18.96846581,72.82191467
52180,31.4254818,78.26499939
52094,12.9722147,80.24484253
52100,13.08510208,80.27646637
52182,22.84002686,69.72736359
52102,13.07595444,80.21312714
52184,14.40007782,77.71659851
52186,19.11613083,77.33436584
52188,12.18726635,75.92310333
52190,19.79771614,72.69441986
52192,25.3761692,83.02271271
52194,30.33914566,76.39936066
52196,22.79327393,70.89544678
52198,25.3062191,83.0079422
52200,20.71787071,70.98910522
52202,25.4622612,81.83747101
52204,26.21306038,78.17927551
52106,13.01041222,80.19863129
